#4;#20;#15;#19;#25;#22;#3;#10;#14;#2;#18;#6;#16;#11;average;;;;;
979;904;669;1275;842;983;518;491;1039;616;729;596;1042;903;828;;;;;
1021;880;520;1282;947;1045;506;435;1048;601;710;661;1071;957;835;;;;;
984;752;506;1277;873;1047;533;423;984;570;764;628;1002;988;809;;;;;
955;754;637;1201;733;1010;544;418;942;690;762;739;963;1011;811;;;;;
931;780;704;1203;701;984;540;417;810;690;735;660;912;1000;791;;;;;
906;772;728;1191;716;959;540;414;782;725;756;729;874;998;792;;;;;
887;830;942;1203;716;943;567;414;778;660;814;698;845;985;806;;;;;
868;865;982;1258;724;964;665;412;783;706;701;669;815;948;811;;;;;
874;772;922;1261;701;955;602;411;783;681;786;642;800;959;796;;;;;
870;775;817;1360;676;970;583;412;772;657;613;678;797;971;782;;;;;
846;786;773;1324;658;992;579;410;759;701;608;630;804;945;773;;;;;
837;800;755;1461;647;960;588;410;751;747;597;611;765;920;775;;;;;
835;804;692;1649;641;914;590;409;761;699;593;606;738;906;774;;;;;
827;822;671;1526;636;869;626;409;810;668;599;729;790;878;776;;;;;
854;823;677;1247;628;830;608;408;781;701;578;672;828;854;749;;;;;
894;820;637;1067;618;835;601;408;761;753;569;633;793;840;731;;;;;
876;857;569;950;613;806;600;408;751;935;561;611;752;816;722;;;;;
876;857;517;878;607;779;602;408;746;818;571;600;738;795;699;;;;;
882;834;485;837;599;756;600;408;751;736;615;592;724;789;686;;;;;
888;801;461;846;594;744;625;409;751;722;614;590;726;771;682;;;;;
886;745;444;876;585;736;684;408;751;761;614;584;719;763;683;;;;;
890;706;430;929;579;713;681;408;747;792;609;580;719;740;680;;;;;
910;674;420;1085;571;695;935;406;742;819;610;580;714;721;706;;;;;
924;659;412;1172;563;684;1199;406;735;798;615;581;687;719;725;;;;;
928;646;406;1233;560;714;914;405;726;741;622;579;679;705;704;;;;;
936;616;400;1182;552;681;717;406;721;697;642;577;683;694;679;;;;;
953;590;396;1136;555;681;806;405;714;668;711;575;678;683;682;;;;;
953;576;394;1166;555;656;987;403;712;663;712;573;677;668;693;;;;;
953;572;389;1181;550;759;826;403;712;695;700;572;672;658;689;;;;;
999;570;386;1145;545;800;860;403;712;713;687;572;667;650;694;;;;;
1001;569;383;1112;543;890;803;402;717;724;686;602;661;640;695;;;;;
998;567;380;1084;539;898;784;403;722;729;687;687;655;632;698;;;;;
1011;562;396;1030;537;893;769;401;731;730;692;791;655;625;702;;;;;
1024;556;392;980;534;890;774;402;739;718;732;848;656;619;705;;;;;
1017;547;391;947;530;883;807;402;742;705;772;884;651;606;706;;;;;
1015;550;389;928;529;880;819;401;742;699;816;915;647;598;709;;;;;
1006;516;388;908;526;873;822;402;744;694;850;968;647;590;710;;;;;
1005;507;390;884;522;860;883;402;745;693;886;1011;642;585;715;;;;;
996;504;390;866;521;920;886;402;748;697;906;1052;642;578;722;;;;;
997;504;386;836;519;924;911;402;748;699;916;1091;639;574;725;;;;;
997;514;385;819;512;937;911;402;767;725;962;1123;637;565;733;;;;;
979;509;384;801;509;909;912;400;775;800;979;1158;634;556;736;;;;;
1015;522;383;783;501;908;907;401;766;781;984;1198;632;555;738;;;;;
995;485;383;764;500;1031;900;400;758;764;994;1234;629;550;742;;;;;
975;479;380;748;545;1053;885;401;757;728;1005;1258;633;544;742;;;;;
959;473;381;732;539;1038;849;401;755;706;1019;1279;637;538;736;;;;;
978;474;382;718;548;1039;870;400;757;685;1030;1279;641;534;738;;;;;
1002;480;381;711;564;1090;897;400;757;665;1030;1271;640;531;744;;;;;
989;480;380;693;570;1074;905;400;754;649;1029;1253;639;522;738;;;;;
