lut.20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
species of fungi;Andersa 3.1;;;;Andersa 3a.1;;;;3;;;;Andersa 3a.9;;;;Andersa 3.5;;;;Andersa 3.6;;;;Andersa 3.7;;;;Andersa 3.8;;;;Andersa 3.9;;;;Andersa 3a.2;;;;Andersa 3a.3;;;;Andersa 3a.4;;;;Andersa 3a.6;;;;Andersa 3a.7;;;;Andersa 3b.1;;;;Andersa 3b.5;;;;Andersa 3b.8;;;;Andersa 3c.2;;;;Andersa 3b.2;;;;Andersa 3c.4;;;;Andersa 3c.5;;;;Andersa 3c.10;;;;Andersa 3a.10;;;;Andersa 3c.8;;;;Andersa 3a.8;;;;
;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D ;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D ;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;
yeast and yeast-like fungi;63;21;5;40;;4;4;4;3;;;;;;;;1;;;;;;;;1;;;;1;6;;;4;1;10;;;;;;;3;5;;;14;13;;;;;6;;;;4;;;;23;;;5;;;;3;3;2;3;;;;3;;;5;;;2;;;;;1;1;;;3;2;2;;;3;4;;;;;0;278
Aspergillus clavatus;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Cladosporium cladosporiodes;1;;;;1;3;3;5;;;;;;;;1;;;;;4;1;1;;;;5;;;;;;;;;;1;1;;;1;;3;2;6;;;1;;;;;;;;;3;;;;;;3;1;;;;;;;;;;;;;;;;2;;;1;;5;;;;;;;;;;;;;;;;55
Verticillium spp.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;3
Sclerotinia sclerotiorum;;1;;;;;1;;;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;11
Fusarium spp;;;1;;;;;2;;;;;1;;;;;2;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;2;;;;;;;;;;;13
Curvalaria lunata;;;;1;3;2;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;1;;;;;;;2;;;;1;1;;;;;;;;;;;;;;1;;;;;;;;;;2;1;2;;1;;;;;;2;;;;;;;;1;;;;;;;2;26
Penicillium commune;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;12
Penicillium spp.;;;;;;3;;;;3;1;;1;;;;;;;;;;;;6;3;4;;;;3;12;;;;1;1;1;;2;;;;;4;;2;;;;;;;;;;;3;;4;3;;4;;5;;;;;;;;3;;2;;;6;;4;1;;;;;;;1;3;;;;;;;;;1;;;87
white, not sporulating;;;;;;;;;1;;;;;1;1;;;;;;;1;;1;;;;;;;;;;;;;;;;1;;;;;;2;;;1;;3;;1;;;;;;3;;;;;;;;;1;;;;;5;;;;;;;10;;;;;;;;;;;;1;;;;;;;;;33
 Coelomycetes group;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Aspergillus niger;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;27;16;32;;;;;;;;;;;;;;;2;;88
Dematiaceae;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;1;;;5;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;15
Alternaria alternara;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2
Verticillium spp.;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Fusarium solani;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;2
Acremonium sp.1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aspergillus ochraceum;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Oidiodendron griseum;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;6;;;;;;;;;;;;;;;;;;;4;;;14
Aureobasidion pullulans;;;;;;;;;;;;;;;;;;;;;;;1;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6
Aspergillus spp.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;2;;;;;;;;;;;;;4;;2;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;11
