Date;time;Temp;High temp;Low temp;Out hum;Dew;Wind speed;Wind dir;Wind run;High speed;High dir;Wind chill;Heat index;THW index;THSW index;17;18;Rain;Solar.;Solar;Hi Solar;UV ;UV. ;Hi ;Heat';Cool;In ;In.;In ..;In ?;In ';In Air;34;Wind,;Wind';ISS ;Arc.
;;;;;;Pt.;;;;;;;;;;Bar  ;Rain;Rate;Rad.;Energy;Rad. ;Index,;Dose;UV ;D-D ;D-D ;Temp;Hum;Dew;Heat '';EMC;Density;ET ;Samp;Tx ;Recept;Int.
31.01.2020;11:06;---;---;---;---;---;0.0;---;0.00;0.0;---;---;---;---;---;------;0.00;0.0;---;---;---;---;---;---;---;---;---;---;---;---;---;---;0.00;0;1;0.0;30
31.01.2020;11:30;7,6;7,6;7,2;85;5,2;4,8;ESE;2,41;19,3;E;7,1;7,6;7,1;---;1002,6;0.00;0.0;---;---;---;---;---;---;0.225;0.000;23.lut;36;07.mar;22.mar;07.pa«;1.1674;0.00;536;1;78.4;30
31.01.2020;12:00;8;8,1;7,6;84;5,5;3,2;ESE;1,61;22,5;ENE;8;8;8;---;1002,6;0.00;0.0;---;---;---;---;---;---;0.215;0.000;23.0;35;06.lip;22.sty;cze.98;1.1685;0.00;702;1;100.0;30
31.01.2020;12:30;8,8;8,8;8,1;82;5,9;4,8;ESE;2,41;20,9;E;8,5;8,8;8,4;---;1003,1;0.00;0.0;---;---;---;---;---;---;0.198;0.000;23.0;35;06.lip;22.sty;cze.98;1.1690;0.00;701;1;100.0;30
31.01.2020;13:00;9,1;9,3;8,8;80;5,8;4,8;ESE;2,41;24,1;ENE;8,7;9;8,7;---;1003,3;0.00;0.0;---;---;---;---;---;---;0.193;0.000;22.sie;35;06.cze;21.wrz;cze.99;1.1700;0.00;703;1;100.0;30
31.01.2020;13:30;9,2;9,3;9;80;5,9;4,8;ESE;2,41;20,9;E;8,9;9,2;8,9;---;1003,7;0.00;0.0;---;---;---;---;---;---;0.190;0.000;22.sie;35;06.maj;21.sie;cze.99;1.1708;0.00;702;1;100.0;30
31.01.2020;14:00;9,2;9,2;9,2;80;5,9;3,2;SE;1,61;20,9;N;9,2;9,2;9,2;---;1004,2;0.00;0.0;---;---;---;---;---;---;0.190;0.000;22.cze;36;06.lip;21.cze;lip.15;1.1720;0.00;703;1;100.0;30
31.01.2020;14:30;9,5;9,5;9,2;79;6;3,2;ESE;1,61;16,1;E;9,5;9,4;9,4;---;1004,5;0.00;0.0;---;---;---;---;---;---;0.184;0.000;22.maj;36;06.lip;21.kwi;lip.15;1.1726;0.00;702;1;100.0;30
31.01.2020;15:00;10,4;10,4;9,5;70;5,2;3,2;ESE;1,61;16,1;ENE;10,4;10,1;10,1;---;1005;0.00;0.0;---;---;---;---;---;---;0.164;0.000;22.kwi;36;06.cze;21.kwi;lip.15;1.1735;0.00;703;1;100.0;30
